Episode,Result,Total Reward
1,Success,-195
2,Success,-1080
3,Success,-700
4,Success,-1695
5,Success,10
6,Success,-480
7,Success,-630
8,Success,-1425
9,Success,-80
10,Success,-685
11,Success,-695
12,Success,90
13,Success,0
14,Success,-95
15,Success,-1200
16,Success,80
17,Success,-175
18,Success,-525
19,Success,-1460
20,Success,-485
21,Success,90
22,Success,-40
23,Success,-20
24,Success,-550
25,Success,230
26,Success,310
27,Success,-115
28,Success,295
29,Success,-590
30,Success,40
31,Success,55
32,Success,-505
33,Success,55
34,Success,-160
35,Success,365
36,Success,-160
37,Success,50
38,Success,20
39,Success,245
40,Success,110
41,Success,180
42,Success,160
43,Success,430
44,Success,295
45,Success,400
46,Success,600
47,Success,350
48,Success,325
49,Success,740
50,Success,50
51,Success,400
52,Success,1200
53,Success,450
54,Success,450
55,Success,1320
56,Success,785
57,Success,1065
58,Success,515
59,Success,620
60,Success,625
61,Success,565
62,Success,1140
63,Success,510
64,Success,1440
65,Success,460
66,Success,1390
67,Success,865
68,Success,2365
69,Success,2055
70,Success,510
71,Success,1505
72,Success,690
73,Success,3405
74,Success,785
75,Success,975
76,Success,2070
77,Success,2565
78,Success,1620
79,Success,2810
80,Success,3095
81,Success,740
82,Success,900
83,Success,1275
84,Success,5185
85,Success,6670
86,Success,5930
87,Success,525
88,Success,5020
89,Success,650
90,Success,3000
91,Success,1530
92,Success,8110
93,Success,4525
94,Success,4405
95,Success,8345
96,Success,1615
97,Success,2195
98,Success,5120
99,Success,23785
100,Success,5920
101,Success,3015
102,Success,4295
103,Success,1665
104,Success,2220
105,Success,10870
106,Success,10730
107,Success,11125
108,Success,10665
109,Success,55665
110,Success,4055
111,Success,92955
112,Success,49330
113,Success,11480
114,Success,11675
115,Success,201690
116,Success,10720
117,Success,25085
118,Success,130875
119,Success,106745
120,Success,15190
121,Success,54525
122,Success,3760
123,Success,52560
124,Success,16580
125,Success,7640
126,Success,26695
127,Success,59225
128,Success,13070
129,Success,37475
130,Success,56560
131,Success,98245
132,Success,20615
133,Success,13755
134,Success,11180
135,Success,7655
136,Success,96935
137,Success,81945
138,Success,584510
139,Success,322090
140,Success,331840
141,Success,23780
142,Success,10615
143,Success,65065
144,Success,2615
145,Success,200755
146,Success,34590
147,Success,1715710
148,Success,126035
149,Success,113470
150,Success,730730
151,Success,3688030
152,Success,746840
153,Success,1097485
154,Success,106280
155,Success,1128005
156,Success,1576900
157,Success,6451655
158,Success,5552310
159,Success,3135455
160,Success,1468975
161,Success,3512160
162,Success,4053770
163,Success,12495
164,Success,11206395
165,Success,25826530
166,Success,29065590
167,Success,2705190
168,Success,106605
169,Success,3643590
170,Success,7131760
171,Success,2242485
172,Success,1957890
173,Success,7539150
174,Success,3300
175,Success,6476510
176,Success,10559945
177,Success,1712385
178,Success,7819015
179,Success,10606310
180,Success,44450435
181,Success,23747255
182,Success,15482940
183,Success,3432995
184,Success,103259660
185,Success,22814755
186,Success,5710395
187,Success,55452830
188,Success,12206395
189,Success,75016335
