Episode,Result,Total Reward
1,Success,-620
2,Success,-680
3,Success,80
4,Success,10
5,Success,-160
6,Success,-425
7,Success,-120
8,Success,-150
9,Success,-310
10,Success,-1175
11,Success,-1080
12,Success,-215
13,Success,-375
14,Success,-130
15,Success,-790
16,Success,-420
17,Success,-395
18,Success,-75
19,Success,-115
20,Success,-135
21,Success,-425
22,Success,-90
23,Success,185
24,Success,-150
25,Success,-420
26,Success,445
27,Success,215
28,Success,-670
29,Success,-150
30,Success,-60
31,Success,60
32,Success,-350
33,Success,-115
34,Success,-85
35,Success,550
36,Success,1385
37,Success,340
38,Success,185
39,Success,1235
40,Success,370
41,Success,2180
42,Success,745
43,Success,670
44,Success,290
45,Success,3130
46,Success,2370
47,Success,1490
48,Success,2825
49,Success,3940
50,Success,1830
51,Success,1260
52,Success,4240
53,Success,11680
54,Success,12800
55,Success,1840
56,Success,21840
57,Success,10760
58,Success,4635
59,Success,14995
60,Success,1430
61,Success,6715
62,Success,8710
63,Success,8080
64,Success,28930
65,Success,17825
66,Success,17060
67,Success,86730
68,Success,34770
69,Success,20810
70,Success,2150
71,Success,30240
72,Success,29790
73,Success,28280
74,Success,40180
75,Success,40915
76,Success,82320
77,Success,150940
78,Success,58945
79,Success,10895
80,Success,42920
81,Success,31905
82,Success,152435
83,Success,103330
84,Success,283465
85,Success,151030
86,Success,41680
87,Success,167080
88,Success,576950
89,Success,27750
90,Success,102120
91,Success,85710
92,Success,223190
93,Success,152715
94,Success,458995
95,Success,99045
96,Success,102815
97,Success,6750
98,Success,1561240
99,Success,583210
100,Success,40095
101,Success,507390
