Episode,Result,Total Reward
1,Success,-885
2,Success,-20
3,Success,-520
4,Success,-390
5,Success,-375
6,Success,-165
7,Success,-345
8,Success,-865
9,Success,-420
10,Success,-475
11,Success,-100
12,Success,-110
13,Success,-175
14,Success,-505
15,Success,-75
16,Success,-410
17,Success,-1070
18,Success,185
19,Success,-50
20,Success,-405
21,Success,-310
22,Success,-365
23,Success,-1740
24,Success,-195
25,Success,-100
26,Success,-255
27,Success,505
28,Success,425
29,Success,-90
30,Success,-100
31,Success,170
32,Success,225
33,Success,150
34,Success,440
35,Success,275
36,Success,275
37,Success,145
38,Success,340
39,Success,155
40,Success,3450
41,Success,260
42,Success,3195
43,Success,2540
44,Success,5085
45,Success,3840
46,Success,4900
47,Success,7625
48,Success,2045
49,Success,3170
50,Success,5525
51,Success,4135
52,Success,4980
53,Success,10160
54,Success,10545
55,Success,2670
56,Success,19935
57,Success,1655
58,Success,19305
59,Success,11495
60,Success,27205
61,Success,4160
62,Success,13920
63,Success,8700
64,Success,54425
65,Success,4870
66,Success,13520
67,Success,25230
68,Success,81565
69,Success,119480
70,Success,18220
71,Success,109895
72,Success,75925
73,Success,6150
74,Success,3740
75,Success,5610
76,Success,39250
77,Success,12770
78,Success,258715
79,Success,47855
80,Success,129735
81,Success,85120
82,Success,177755
83,Success,79390
84,Success,50140
85,Success,329895
86,Success,101980
87,Success,240815
88,Success,233265
89,Success,120475
90,Success,129955
91,Success,267260
92,Success,44675
93,Success,581750
94,Success,236180
95,Success,34680
96,Success,89450
97,Success,950875
98,Success,153675
99,Success,59080
100,Success,980915
101,Success,274445
102,Success,208045
103,Success,413760
104,Success,775455
105,Success,413160
106,Success,1296345
107,Success,4095
