Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-50.29999999999961,0.0,147,0.999
2,Success,-1007.7000000000036,0.0,570,0.998001
3,Success,-76.6999999999997,0.0,136,0.997002999
4,Success,-231.6000000000009,0.0,205,0.996005996001
5,Success,32.50000000000017,0.0,88,0.995009990004999
6,Success,-380.0000000000015,0.0,179,0.994014980014994
7,Success,-304.90000000000134,0.0,127,0.993020965034979
8,Success,-289.40000000000146,0.0,115,0.9920279440699441
9,Success,-181.10000000000176,0.0,210,0.9910359161258742
10,Success,-325.2000000000007,0.0,132,0.9900448802097482
11,Success,-689.1000000000018,-21.671890798564803,156,0.9890548353295385
12,Success,-169.30000000000004,0.0,134,0.988065780494209
13,Success,-389.70000000000175,-21.671890798564803,131,0.9870777147137147
14,Success,-504.00000000000273,-21.671890798564803,279,0.986090636999001
15,Success,125.30000000000017,-21.671890798564803,56,0.9851045463620021
16,Success,192.60000000000036,-21.671890798564803,152,0.98411944181564
17,Success,236.70000000000005,-21.671890798564803,40,0.9831353223738244
18,Success,268.4000000000002,-21.671890798564803,84,0.9821521870514506
19,Success,-214.1000000000001,0.0,112,0.9811700348643991
20,Success,-344.60000000000025,-21.671890798564803,195,0.9801888648295347
21,Success,-287.10000000000116,0.0,152,0.9792086759647052
22,Success,-588.000000000001,-21.671890798564803,97,0.9782294672887405
23,Success,-69.69999999999973,-21.671890798564803,116,0.9772512378214517
24,Success,-509.1000000000073,0.0,402,0.9762739865836303
25,Success,-93.20000000000064,-21.671890798564803,225,0.9752977125970467
26,Success,-366.5000000000007,-7.922189094614146,70,0.9743224148844496
27,Success,156.9000000000001,-21.671890798564803,37,0.9733480924695651
28,Success,-79.39999999999975,-21.671890798564803,184,0.9723747443770956
29,Success,73.0,-7.922189094614146,24,0.9714023696327185
30,Success,-492.70000000000243,-21.671890798564803,279,0.9704309672630859
31,Success,349.5000000000001,-21.671890798564803,61,0.9694605362958227
32,Success,11.500000000000313,-7.922189094614146,156,0.9684910757595269
33,Success,13.40000000000002,-7.922189094614146,25,0.9675225846837673
34,Success,-643.6000000000034,-27.39340008729058,220,0.9665550620990835
35,Success,-91.50000000000014,-7.922189094614146,87,0.9655885070369844
36,Success,-1360.699999999982,-14.98852690030629,557,0.9646229185299474
37,Success,-337.60000000000275,-14.98852690030629,279,0.9636582956114175
38,Success,-208.50000000000293,-27.07196454803986,222,0.9626946373158061
39,Success,-60.499999999999545,-27.07196454803986,135,0.9617319426784903
40,Success,-248.80000000000095,-32.51261679371508,110,0.9607702107358118
41,Success,-578.4000000000028,-37.022498154618575,284,0.959809440525076
42,Success,31.600000000000378,-37.022498154618575,239,0.9588496310845509
43,Success,44.99999999999995,-37.022498154618575,57,0.9578907814534664
44,Success,-53.19999999999996,-27.07196454803986,96,0.9569328906720129
45,Success,38.50000000000122,-27.07196454803986,405,0.9559759577813409
46,Success,161.00000000000009,-27.07196454803986,56,0.9550199818235596
47,Success,-609.9000000000004,-27.07196454803986,199,0.9540649618417361
48,Success,-661.8000000000031,-37.022498154618575,291,0.9531108968798944
49,Success,-236.40000000000097,-27.07196454803986,138,0.9521577859830145
50,Success,41.40000000000044,-37.022498154618575,175,0.9512056281970315
51,Success,422.99999999999943,-27.07196454803986,340,0.9502544225688344
52,Success,150.00000000000003,-27.07196454803986,55,0.9493041681462656
53,Success,148.20000000000024,-37.022498154618575,82,0.9483548639781193
