Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-449.45944789240616,-0.448504801,135,0.999
2,Success,17.71747090900412,-0.59504915698,26,0.998001
3,Success,61.844483648751314,-0.44852430498999996,25,0.997002999
4,Success,-106.65634353241433,-0.44852430498999996,147,0.996005996001
5,Success,-1359.4637983728305,-0.5950684659301,367,0.995009990004999
6,Success,-672.8976785448707,-0.5950684659301,208,0.994014980014994
7,Success,-600.094307420914,-0.5950684659301,222,0.993020965034979
8,Success,-962.4707417296567,-0.5950684659301,271,0.9920279440699441
9,Success,-412.200563079747,-0.883775117398191,134,0.9910359161258742
10,Success,-147.03123266981677,-1.4440584889396508,98,0.9900448802097482
11,Success,-968.2801245318609,-1.4440584889396508,293,0.9890548353295385
12,Success,35.58218047326248,-0.883775117398191,27,0.988065780494209
13,Success,-383.8608619328131,-0.883775117398191,153,0.9870777147137147
14,Success,-1640.7907093102804,-1.4440584889396508,340,0.986090636999001
15,Success,-48.732247551122555,-1.0259764741843092,87,0.9851045463620021
16,Success,-461.0477784936328,-1.0259764741843092,165,0.98411944181564
17,Success,-338.452817200273,-1.4442274531089776,88,0.9831353223738244
18,Success,-95.47676456004567,-1.4442274531089776,76,0.9821521870514506
19,Success,-1433.713128837001,-1.5808808433747863,366,0.9811700348643991
20,Success,-1277.5003479053971,-1.85016403478767,287,0.9801888648295347
21,Success,-251.60453463992465,-2.243626155253591,128,0.9792086759647052
22,Success,-1474.28094911529,-1.85016403478767,323,0.9782294672887405
23,Success,-246.7169161827907,-1.85016403478767,108,0.9772512378214517
24,Success,45.38717943771256,-1.85016403478767,37,0.9762739865836303
25,Success,-465.80734064906756,-1.85016403478767,167,0.9752977125970467
26,Success,-666.5966360093113,-1.85016403478767,265,0.9743224148844496
27,Success,-943.4744611532057,-2.6259218984759576,232,0.9733480924695651
28,Success,-287.69465234979907,-2.6259218984759576,150,0.9723747443770956
29,Success,-492.04308971366504,-2.6259218984759576,145,0.9714023696327185
30,Success,-116.30678334715452,-1.85016403478767,68,0.9704309672630859
31,Success,-477.21498415749966,-1.85016403478767,165,0.9694605362958227
32,Success,96.66306573355529,-2.6259218984759576,17,0.9684910757595269
33,Success,-483.69680184963227,-1.85016403478767,181,0.9675225846837673
34,Success,-312.29214592944015,-1.9828348882740916,123,0.9665550620990835
35,Success,-1013.8416789113536,-1.9828348882740916,277,0.9655885070369844
36,Success,-42.5812187940364,-1.9828348882740916,70,0.9646229185299474
37,Success,39.11284567131531,-1.9828348882740916,39,0.9636582956114175
38,Success,39.25116987780988,-2.7508507810408793,20,0.9626946373158061
39,Success,-493.7767584767803,-2.7508507810408793,120,0.9617319426784903
40,Success,-1213.8855222611846,-1.9828348882740916,306,0.9607702107358118
41,Success,14.511408916462472,-1.9828348882740916,40,0.959809440525076
42,Success,-879.8288466750189,-1.9828348882740916,240,0.9588496310845509
43,Success,-700.9721762215366,-1.9828348882740916,185,0.9578907814534664
44,Success,-271.3140350737473,-1.9828348882740916,114,0.9569328906720129
45,Success,12.039388664584948,-2.8745450905118908,28,0.9559759577813409
46,Success,-6.247735671285653,-1.9828348882740916,40,0.9550199818235596
47,Success,-1672.1169217615325,-2.9970362726346296,372,0.9540649618417361
48,Success,99.36064566769046,-2.1142368041981374,14,0.9531108968798944
49,Success,-80.87807238385548,-2.1142368041981374,50,0.9521577859830145
50,Success,-1022.1765371284065,-2.244337373722874,225,0.9512056281970315
51,Success,-174.5218834233054,-2.3731369375523625,76,0.9502544225688344
52,Success,-40.03935433230933,-2.3731369375523625,53,0.9493041681462656
53,Success,-394.19013509141416,-2.7519202305244868,86,0.9483548639781193
54,Success,41.72839811656747,-3.821000291280941,35,0.9474065091141411
55,Success,-135.65140541787966,-3.1194708531781843,88,0.946459102605027
56,Success,-324.80697617964677,-4.156803788590852,118,0.9455126435024219
57,Success,59.367752448877056,-4.156803788590852,36,0.9445671308589195
58,Success,2.660556914251856,-4.156803788590852,36,0.9436225637280606
59,Success,-643.4260728970736,-3.2395569807922313,152,0.9426789411643326
60,Success,31.182682813390613,-4.156803788590852,42,0.9417362622231683
61,Success,-276.37111790149163,-4.266519693985283,99,0.9407945259609451
62,Success,88.16775244887701,-3.3584459010906498,18,0.9398537314349842
63,Success,-60.601349947858324,-3.3584459010906498,46,0.9389138777035492
64,Success,-237.18522680970963,-3.3584459010906498,112,0.9379749638258457
65,Success,-476.2975284695816,-3.7080249497308753,142,0.9370369888620198
66,Success,15.039589425551029,-5.004400497486815,41,0.9360999518731578
67,Success,-92.24646111349583,-3.9352698881653265,78,0.9351638519212846
68,Success,12.767752448877047,-4.157981816264292,32,0.9342286880693633
69,Success,-8.252122767985483,-5.105616576573135,64,0.933294459381294
70,Success,-28.162840739914003,-5.105616576573135,52,0.9323611649219127
71,Success,-152.9005090717455,-5.105616576573135,100,0.9314288037569908
72,Success,-430.5330284388418,-4.267655650357243,129,0.9304973749532338
73,Success,101.76147284885637,-5.105616576573135,18,0.9295668775782806
74,Success,-1662.2281856661673,-4.695392988599186,399,0.9286373107007023
75,Success,-317.6440288691558,-4.695392988599186,143,0.9277086733900016
76,Success,-23.585098443502545,-4.695392988599186,79,0.9267809647166116
77,Success,-370.82349930176827,-5.403102432604763,154,0.925854183751895
78,Success,-642.3595871082322,-4.79964062164859,127,0.9249283295681431
79,Success,-58.98161522207721,-5.403102432604763,48,0.9240034012385749
80,Success,-1049.4745050718102,-4.79964062164859,277,0.9230793978373364
81,Success,102.03542841099866,-5.403102432604763,16,0.9221563184394991
82,Success,-377.59148692227063,-5.403102432604763,167,0.9212341621210596
83,Success,-17.64284503866253,-4.79964062164859,60,0.9203129279589385
84,Success,-56.114715485347574,-4.79964062164859,102,0.9193926150309796
85,Success,-678.7648658593209,-4.79964062164859,181,0.9184732224159486
86,Success,-9.638527151143563,-4.79964062164859,72,0.9175547491935327
87,Success,-133.07927174436472,-5.500118290531029,63,0.9166371944443392
88,Success,-252.01564607059217,-4.79964062164859,110,0.9157205572498949
89,Success,-240.89382092199375,-5.500118290531029,77,0.914804836692645
90,Success,101.52038766745966,-5.500118290531029,19,0.9138900318559524
91,Success,-1100.6640222081628,-5.59605028552251,247,0.9129761418240965
92,Success,-455.0291971781071,-5.402025071636073,110,0.9120631656822724
93,Success,127.01956048629376,-6.241243849251639,11,0.9111511025165902
94,Success,-21.54840957006212,-6.241243849251639,31,0.9102399514140735
95,Success,48.02922529773338,-6.329694430029435,20,0.9093297114626595
96,Success,-253.04576878000435,-6.329694430029435,71,0.9084203817511969
97,Success,-897.6148071567716,-5.689691986983047,262,0.9075119613694457
98,Success,-1478.3951148501187,-6.329694430029435,343,0.9066044494080763
99,Success,-756.254432842927,-6.329694430029435,226,0.9056978449586682
100,Success,104.06775244887702,-6.329694430029435,19,0.9047921471137096
